cl_method,steps,lr,num_epochs,CSR(T),AEFR(T),UKR(T),OKR(T),KG(T)
none_cl,0,0.0,0.0,0.354375,0.0,0.802734375,0.361328125,0.3125
simple_cl,2035,3e-05,5.0,0.54546875,0.8517883948367456,0.65625,0.826171875,0.503125
simple_cl,2175,5e-05,5.0,0.5120312499999999,0.9306393662412634,0.623046875,0.802734375,0.47109375
simple_cl,4130,3e-05,10.0,0.5348437500000001,0.9735926451697963,0.662109375,0.77734375,0.4890625
simple_cl,4350,5e-05,10.0,0.51109375,0.9807609075658168,0.638671875,0.822265625,0.50078125
simple_cl,8160,3e-05,20.0,0.54046875,0.9825649642529467,0.689453125,0.876953125,0.515625
simple_cl,8860,5e-05,20.0,0.5040625000000001,0.9808995287325097,0.619140625,0.828125,0.503125
online_ewc-250.0,2060,3e-05,5.0,0.53859375,0.8667544185224468,0.697265625,0.8359375,0.51328125
online_ewc-500.0,2060,3e-05,5.0,0.54,0.8490339492627388,0.6875,0.8203125,0.52734375
online_ewc-1000.0,2065,3e-05,5.0,0.5403125,0.862679830280304,0.70703125,0.826171875,0.52890625
online_ewc-500.0,2170,5e-05,5.0,0.5125,0.9402502863020881,0.623046875,0.78515625,0.475
online_ewc-250.0,2185,5e-05,5.0,0.515,0.9365258623001728,0.646484375,0.77734375,0.46484375
online_ewc-1000.0,2220,5e-05,5.0,0.5075000000000001,0.9427924119970649,0.69140625,0.796875,0.50859375
online_ewc-1000.0,4040,3e-05,10.0,0.5504687500000001,0.9757328615793994,0.697265625,0.837890625,0.50859375
online_ewc-500.0,4090,3e-05,10.0,0.54140625,0.9744922462825274,0.671875,0.822265625,0.5
online_ewc-250.0,4220,3e-05,10.0,0.5310937499999999,0.9754823611961715,0.697265625,0.837890625,0.5109375
online_ewc-1000.0,4240,5e-05,10.0,0.5254687499999999,0.9759309218068575,0.64453125,0.84765625,0.51171875
online_ewc-500.0,4340,5e-05,10.0,0.51234375,0.9819723732613791,0.654296875,0.826171875,0.48984375
online_ewc-250.0,4380,5e-05,10.0,0.5075000000000001,0.9813805649409255,0.625,0.84375,0.4859375
er-32-3,1584,3e-05,3.0,0.5587500000000001,0.6668576983704497,0.779296875,0.791015625,0.53046875
er-32-3,1647,5e-05,3.0,0.53046875,0.7617598874474004,0.73828125,0.796875,0.51953125
er-64-3,1980,3e-05,3.0,0.55984375,0.6808971891564529,0.76171875,0.806640625,0.52421875
er-64-3,2034,5e-05,3.0,0.5321875,0.7850604167095532,0.728515625,0.83203125,0.5015625
er-32-1,2358,3e-05,3.0,0.56015625,0.778736535991211,0.7734375,0.83203125,0.5296875
er-32-1,2379,5e-05,3.0,0.5475,0.8661073590160955,0.748046875,0.798828125,0.51953125
er-32-3,2695,3e-05,5.0,0.5475,0.8661590022637847,0.763671875,0.849609375,0.521875
er-32-3,2770,5e-05,5.0,0.5214062500000001,0.9367552388163607,0.69140625,0.767578125,0.45625
er-64-3,3310,3e-05,5.0,0.555625,0.8665305281692991,0.7890625,0.849609375,0.53125
